Date,cases,deaths,tests
2021-03-21,176,418,2316
2021-03-22,201,418,2504
2021-03-23,149,419,2364
2021-03-24,183,420,-9220
2021-03-25,163,422,2731
2021-03-26,205,430,3765
2021-03-27,224,430,3285
2021-03-28,247,433,3319
2021-03-29,198,433,2749
2021-03-30,161,434,2641
2021-03-31,186,436,2361
2021-04-01,199,436,3007
2021-04-02,247,437,4105
2021-04-03,278,436,2909
2021-04-04,220,439,3171
2021-04-05,217,440,3013
2021-04-06,216,443,2541
2021-04-07,186,445,2544
2021-04-08,204,447,2593
2021-04-09,326,453,3190
2021-04-10,221,453,3000
2021-04-11,313,454,3239
2021-04-12,288,455,2780
